Kingdom,Phylum,Class,Order,Familia,Genera,GID
Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,Coprothermobacter,228
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,229
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium 1,230
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,231
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Crenotrichaceae,Crenothrix,232
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,233
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrbacteriaceae,Cryobacterium,234
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Cupriavidus,235
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,236
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,237
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Cutibacterium,238
Bacteria,Cyanobacteria,Cyanobacteria,Chroococcales,Cyanobacteriaceae,Cyanobacterium,239
Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,cyanobacterium TDX16,cyanobacterium TDX16,240
Bacteria,Bacteroidetes,Bacteroidetes,Cytophagales,Cytophagaceae,Cytophaga,241
Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,DA101,242
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Thermodesulfovibrionaceae,DCE29,243
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechlorobacter,244
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas,245
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechlorosoma,246
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Deefgea,247
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus,248
Bacteria,Chloroflexi,Dehalococcoidia,Dehalobacterales,Dehalobacteraceae,Dehalobacter,249
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Dehalobacter_Syntrophobotulus,250
Bacteria,Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,Dehalobacterium,251
Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidetes,Dehalogenimonadaceae,Dehalogenimonas ,252
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,253
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,254
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Denitratisoma,255
Bacteria,,,,,denitrifying bacterium enrichment culture clone NOB_0_E6,256
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,257
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Derxia ,258
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Desemzia,259
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatiglans,260
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacter,261
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,262
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfobacca,263
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium,264
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,265
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,266
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,267
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfomonile,268
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,269
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,270
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,271
Bacteria,Firmicutes,Bacilli,Bacillales,unclassified Bacillales,Desulfuribacillus,272
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfurispora,273
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio,274
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,unclassified Desulfuromonadales,Desulfuromonadales bacterium JN18_A94_J,275
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,276
Bacteria,Firmicutes,Clostridia,Natranaerobiales,Anaerobrancaceae,Dethiobacter,277
Bacteria,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Dethiosulfatibacter,278
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,279
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,280
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,281
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia,282
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter,283
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dokdonella,284
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,285
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,286
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,287
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,288
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,289
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,290
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Ectothiorhodospiraceae bacterium,291
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,292
Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Effusibacillus,293
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Elstera,294
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Endobacter,295
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,296
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,297
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Enteractinococcus,298
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,299
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,300
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enterorhabdus,301
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Eremococcus,302
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,303
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,304
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,305
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,306
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacteriaceae bacterium,307
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium brachy group,308
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Eubacterium coprostanoligenes group,309
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Extensimonas,310
Bacteria,Firmicutes,Tissierellia,,,Ezakiella,311
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,312
Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,Family XIII UCG-002,313
Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Fastidiosipila,314
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Ferribacterium,315
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Ferriphaselus,316
Bacteria,Proteobacteria,Betaproteobacteria,Ferritrophicales,Ferritrophicaceae,Ferritrophicum,317
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Ferrovibrio,318
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,319
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,320
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,321
Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Flavisolibacter,322
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,323
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola,324
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Fonticella,325
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,326
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Friedmanniella,327
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Frigoribacterium,328
Bacteria,Firmicutes,Clostridia,Clostridiales,Acidaminobacteraceae,Fusibacter,329
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,330
Bacteria,Actinobacteria,Rubrobacteria,Gaiellales,Gaiellaceae,Gaiella,331
Bacteria,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella,332
Bacteria,Proteobacteria,Gammaproteobacteria,,,gamma proteobacterium,333
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Gelria,334
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales incertae sedis,Gemella,335
Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,336
Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,337
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,338
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,339
Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,340
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Bogoriellaceae,Georgenia,341
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Georgfuchsia,342
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Geosporobacter_Thermotalea,343
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,344
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,345
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Glutamicibacter,346
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,347
Bacteria,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Gracilibacter,348
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,349
Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,350
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,351
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae,Haliangium,352
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Haliea,353
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,354
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas sp. RS-22,355
Bacteria,Tenericutes,Mollicutes,Haloplasmatales,Haloplasmataceae,Haloplasma,356
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,357
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,HB2-32-21,358
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Helcococcus,359
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,360
