GID,site_2,site_3,site_4,site_5,site_17,site_1,site_8,site_9,site_11,site_12,site_13,site_14,site_15,site_16,site_22,site_29,site_32,site_34,site_40,site_44,site_47,site_49,site_55,site_56,site_67,site_68,Influence
602,0.0569,0.0859,0.022,0.0368,0.0,0.0,0.0,0.0357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0889,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,4.0111,0.0106,5
230,0.1328,0.4542,0.1234,0.1785,0.0,0.0215,0.0,0.0536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,2.0387,0.0,0.0053,5
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6825,0.0,0.0,0.0048,0.0,0.0,0.1343,0.0,0.0,0.0,0.0,0.1332,0.0,0.0,0.0,0.0,0.0,4
599,0.2277,0.2946,0.216,0.37,0.0,0.2585,0.0,4.3855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1778,0.0,0.0,0.0,0.0,0.0,0.0,0.1984,0.0,0.0,4
20,2.694,0.135,0.1388,0.173,0.0,0.0431,0.0,0.2501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7337,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,4
664,5.9951,2.4306,2.1112,3.3131,0.0,3.4468,0.0,4.5105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2892,0.0,0.0,0.0,0.0,0.0,0.0,0.3556,0.0,0.0,4
89,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,2.2049,0.0,0.0,0.0,0.0049,0.0,39.8388,0.0,0.0,0.0,0.0,1.9947,0.0,0.0,0.0,0.0,0.0,4
449,1.8972,2.5043,1.6682,2.9045,0.0,2.4774,1.28,30.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1271,0.0,0.0,0.0,0.0,0.0967,0.1075,10.0672,4
467,1.8592,0.1964,0.1565,1.4522,0.0,0.1508,0.0,0.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7262,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,4
