4379112.0 k__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,0.10411,0,0,0.21669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00902,0,0.28854,0
f__unspecific_JG30-KF-CM45,,,,,0.01863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0,0,0,0,0
301721.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,0.59045,3.12317,1.32906,0.85879,3.01251,0.7674,0.47118,1.33191,2.72799,1.31957,0.50771,0.52231,0.23632,0.38558,0.61346,0.45862,1.23323,0.7289,0.79377,0.93756,0.51001,1.02591
139922.0 k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,0.61694,0,0,0,0.02977,0.00887,0,0.00777,0.05951,0,0.03522,0.05499,0.26905,0,2.05684,0.71076,0.01007,0.04362,0.08121,0.03836,0.07472,0.08974
164761.0 k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,0.11636,0,0,0,0,0,0,0,0,0,0,0,0,0.03278,0,0,0.06745,0.04997,0.04547,0.02061,0.03233,0.12748
4342625.0 k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,0.16276,0.39856,0.11326,0.05524,0.37799,0.03549,0,0.06505,0.3864,0,0.05675,0,0,0,0.04729,0,0.02819,0,0.02205,0.01856,0,0.04653
179300.0 k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,0.26739,0.00913,0,0,0.02301,0.06022,0.17253,0,0.01292,0.45161,0,0.04135,0.56696,1.8231,0.2804,2.02981,1.39524,19.59296,1.33928,1.07711,1.13236,1.34234
4443276.0 k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,0.43669,0,0,0,0,0.00195,0.13291,0.00752,0.00231,0.46892,0.29338,0.15105,0.25381,0.25933,0.10541,5.31411,1.39269,5.60371,3.62676,1.04045,3.01959,2.9884
f__unspecific_RF32,,,,,0.14891,0.50848,0.1124,0.30323,0.40578,0.56526,0.44717,0.22815,0.39164,0.49778,0.33303,0.53718,0.72575,0.41599,0.51202,0.9958,1.91134,0.40211,0.68336,1.22749,0.50556,0.56361
653104.0 k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,0.11194,0,0,0,0,0,0.05158,0,0,0,0.01264,0,0.05915,0.03955,0.10182,0.04928,0.03962,0.02783,0.02232,0.00292,0.013,0.01908
246850.0 k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,33.96928,0,0,0,0,0,26.21721,0,0,0,0,0,31.05612,27.56747,24.30967,0.05673,0.01599,0.48947,0.05904,0.04232,0.04051,0.10303
1008887.0 k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,0.11205,0,0,0.14518,0,0,0.13725,0,0,0,0,0,0.08197,0.16078,0.1547,0.02158,0,0.00857,0.02826,0,0.30467,0
f__unspecific_Rhizobiales,,,,,0.06766,0,0.00239,0,0,0,0,0,0,0.19293,0.00603,0,0.03177,0.02124,0,0.01568,0,0,0.0136,0.02099,0,0.01708
4382812.0 k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,0.03836,0,0,0,0,0,0,0,0,0,0,0.01417,0,0.0295,0,0.01089,0.01944,0.09399,0.07552,0.0159,0.0452,0.06282
f__unspecific_SHA-98,,,,,0.02634,0,0.00373,0,0,0.00638,0,0.01684,0,0,0,0,0,0,0,0,0,0.02196,0,0.00961,0,0
72153.0 k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,0.0622,0.00894,0,0,0,0,0.10902,0,0,0,0.28942,0.00578,0.17999,0.12637,0.01807,0.63299,0.65294,6.59454,0.5079,0.25671,0.50147,0.47083
f__unspecific_Streptophyta,,,,,0.01856,0.00267,0,0,0.00345,0,0.059,0,0,0,0.04909,0.01746,0.04228,0.0754,0,0.12526,0.01429,0.17465,0.0684,0.01524,0.04338,0.02729
f__unspecific_Bacteroidetes,,,,,0.07332,0,0,0,0,0,0.01395,0,0.0075,0,0,0.00402,0,0,0,0,0,0,0.05938,0.05181,0.08985,0
f__unspecific_Betaproteobacteria,,,,,0.04834,0,0.05113,0.02916,0,0.02811,0,0.00733,0,0,0,0,0,0,0,0.01208,0.02836,0,0.01739,0,0.21749,1.39509
f__unspecific_Lentisphaerae,,,,,0.04864,0.03613,0.22224,0.01467,0.03012,0.32291,0,0.2536,0.04373,0.01301,0.28917,0.25202,0.03079,0,0.01413,0.00608,0.02319,0,0.19791,0.06214,0.04061,0.13509
161403.0 k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,0.06445,0.44245,0.73424,0.29163,0.46399,2.5281,0.45536,0.91393,0.44193,0,2.32933,3.17057,0.1958,0.42554,0.22472,0.08458,0.71258,0.42995,0.31389,0.49317,0.13989,0.14741
f__unspecific_YS2,,,,,0.24978,0.47583,0.50816,0.48978,0.38093,1.37682,0.19119,0.57902,0.41804,0.25884,0.41044,0.148,0.08695,0.15858,0.76812,1.6508,0.91371,0.83567,3.27625,1.72465,2.43974,3.61486
4299270.0 k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,0,0.05176,0.09349,0,0.07098,0.02894,0.06313,0.08261,0.07727,0,0.05826,0.03737,0,0,0.04154,0.0402,0.05504,0,0.21459,0.01672,0,0.04087
1042616.0 k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,0,0.01768,0.05967,0,0.02285,0.00511,0.0993,0.06179,0.04032,0,0.18347,0.19471,0.13343,0,0.06125,0.43477,0.16621,0.28044,0.71603,0.11863,0.11146,0.79213
815665.0 k__Bacteria,p__Tenericutes,c__Mollicutes,o__Anaeroplasmatales,f__Anaeroplasmataceae,0,0.18337,0.18632,0.20479,0.17199,0.03788,0.34883,0.21705,0.15345,0,0.03562,0,0.07812,0.04179,0,0.18513,0.21726,0.57345,0.17393,0.06758,0.14426,0.02689
819839.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,0,0.00675,0,0,0.02034,0.00606,0,0,0,0,0.02858,0,0.03563,0.03177,0,0,0.02065,0,0.05425,0.07991,0.02089,0.34296
568326.0 k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Dehalobacteriaceae,0,0.00377,0,0,0,0.00509,0,0,0.00301,0,0,0,0,0,0.02287,0,0,0,0.02844,0,0,0
4326496.0 k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,0,0.01024,0.10004,0.03613,0.00545,0.54484,0.01926,0.0134,0.35678,0.17641,0.72189,0,0,0,2.13122,5.30592,0.08959,0.10362,0.2034,4.07745,0.1686,0.64095
686789.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,0,0.01291,0,0,0,0,0,0,0,0,0.38644,0.01877,0,0,0,0,0.01975,0,0,0,0.04868,0.01467
309133.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,0,0.2196,0.0102,0,0.27402,0.00634,0.04072,0.05529,0.21697,0,0.02665,0.07245,0,0,0,0.38364,0.4312,3.72448,0.19369,0.00789,0.11067,0.33556
