Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_2,site_3,site_4,site_5,site_17,site_18,site_21,site_24,site_26,site_28,site_35,site_57,site_58,site_59,site_60,site_69,site_70
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026391491383178063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylophilus,453,0.0,0.0,0.0,0.0,0.0,0.0,0.0015819655922483685,0.0,0.00395872370747671,0.023476933912431035,0.0,0.0,0.15369836695485112,0.0770766913078513,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylosinus,454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017794227552581944,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera,455,0.01897173211914248,0.0,0.0,0.0018406037180195103,0.10587612493382743,0.0,0.0,0.0,0.0,0.31302578549908044,0.0,0.6168080185042405,0.5763688760806917,0.45895666187856915,0.037367877860422075,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Methyloversatilis,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003912822318738506,0.0,0.8481110254433308,0.0,0.0,0.030250186839389303,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylovirgula,457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_Incertae_Sedis,Unknown_Family,Micavibrio,458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrio_unclassified,Micavibrio_unclassified,Micavibrio_sp_EPC2,459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,460,0.0,0.0,0.0022037596139013156,0.0018406037180195103,0.15881418740074113,0.0,0.0007909827961241842,0.08939213349225268,0.0,0.0,0.0,0.06168080185042405,0.0,0.0,0.04804441439197124,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microcella,461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00395872370747671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
