Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_1,site_8,site_9,site_11,site_12,site_13,site_14,site_15,site_16,site_22,site_29,site_32,site_34,site_40,site_44,site_47,site_49,site_55,site_56,site_67,site_68
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Thioalkalispiraceae,Thioalkalispira,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,Thiobacillus,727,0.0,0.0,0.005954507562224604,0.025581990278843697,0.0,0.25803890432711396,0.0,0.004810930433945925,0.007328870865295353,0.017845306684342015,0.0,0.029632556301856974,0.0,0.0,0.0,0.04176444851040134,0.0,0.0,0.03699095403033258,0.043971076802814146,0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004885675200312683,0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Tissierella_Soehngenia,729,0.0,0.0,0.0,0.0,0.5602602499225446,0.0,0.0,0.004810930433945925,0.0,0.0,0.1535213970447131,0.0,0.0,0.0,0.0,0.037786881985601206,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Tistrella,730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,731,0.0,0.0,0.0,21.847019698132513,16.96530001032738,3.533148074632791,0.9910969259197042,1.1931107476185894,0.823276493868178,0.7189109264263499,1.0170792554212245,0.0,0.0,0.0,0.0,1.2410007557376397,0.0,0.0,0.0,0.0,0.0
Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema_2,732,0.021542438604049977,0.0,0.011909015124449208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009877518767285657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,733,0.0,0.0,0.002977253781112302,0.0,0.0,0.03969829297340214,0.03359650596337981,0.00962186086789185,0.01954365564078761,0.28042624789680315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008407035006893769,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Turicella,734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Firmicutes,Bacilli,Turicibacterales,Turicibacteraceae,Turicibacter,735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Spirochaetes,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,736,0.0,0.0,0.07740859830891986,0.0,0.0,0.0,0.0,0.0,0.036644354326476766,0.005098659052669148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Uliginosibacterium,737,0.0,0.0,0.002977253781112302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacteraceae_unclassified,738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenaceae_unclassified,739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008407035006893769,0.0,0.0
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_unclassified,740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058849245048256385,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacteraceae_unclassified,741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010088442008272523,0.0,0.0
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03354519774011299,0.0,0.0,0.0,0.0,0.0025221105020681307,0.0,0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_unclassified,743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatiaceae_unclassified,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060530652049635134,0.0,0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridiaceae_1_unclassified,745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23658192090395483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_4,Clostridiaceae_4_unclassified,746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
