Family,Genus
unspecific_Burkholderiales,unspecific_Burkholderiales
Carnobacteriaceae,unspecific_Carnobacteriaceae
Caulobacteraceae,unspecific_Caulobacteraceae
Cellulomonadaceae,unspecific_Cellulomonadaceae
unspecific_Chlorobi,unspecific_Chlorobi
unspecific_Chlorophyta,unspecific_Chlorophyta
Christensenellaceae,unspecific_Christensenellaceae
unspecific_Clostridia,unspecific_Clostridia
Clostridiaceae,unspecific_Clostridiaceae
unspecific_Clostridiales,unspecific_Clostridiales
Comamonadaceae,unspecific_Comamonadaceae
Coriobacteriaceae,unspecific_Coriobacteriaceae
Coxiellaceae,unspecific_Coxiellaceae
unspecific_Saccharibacteria,unspecific_CW040
unspecific_Cystobacterineae,unspecific_Cystobacterineae
Pasteurellaceae,unspecific_d153
Dehalobacteriaceae,unspecific_Dehalobacteriaceae
Dehalococcoidaceae,unspecific_Dehalococcoidaceae
Desulfovibrionaceae,unspecific_Desulfovibrionaceae
unspecific_Alphaproteobacteria,unspecific_Ellin329
unspecific_Betaproteobacteria,unspecific_Ellin6067
Elusimicrobiaceae,unspecific_Elusimicrobiaceae
Enterobacteriaceae,unspecific_Enterobacteriaceae
Enterococcaceae,unspecific_Enterococcaceae
Erysipelotrichaceae,unspecific_Erysipelotrichaceae
Erythrobacteraceae,unspecific_Erythrobacteraceae
Peptococcaceae,unspecific_EtOH8
Eubacteriaceae,unspecific_Eubacteriaceae
unspecific_Saccharibacteria,unspecific_EW055
unspecific_FBP,unspecific_FBP
unspecific_Firmicutes,unspecific_Firmicutes
unspecific_Flavobacteriales,unspecific_Flavobacteriales
Frankiaceae,unspecific_Frankiaceae
Gemellaceae,unspecific_Gemellaceae
Gracilibacteraceae,unspecific_Gracilibacteraceae
Holophagaceae,unspecific_Holophagaceae
Intrasporangiaceae,unspecific_Intrasporangiaceae
unspecific_Thermomicrobiales,unspecific_JG30-KF-CM45
Lachnospiraceae,unspecific_Lachnospiracea
Lachnospiraceae,unspecific_Lachnospiraceae
Lactobacillaceae,unspecific_Lactobacillaceae
unspecific_Lactobacillales,unspecific_Lactobacillales
unspecific_Lentisphaerae,unspecific_Lentisphaerae
Leuconostocaceae,unspecific_Leuconostocaceae
Methanobacteriaceae,unspecific_Methanobacteriaceae
Methylobacteriaceae,unspecific_Methylobacteriaceae
Methylocystaceae,unspecific_Methylocystaceae
Microbacteriaceae,unspecific_Microbacteriaceae
Micrococcaceae,unspecific_Micrococcaceae
,unspecific_mitochondria
unspecific_RF3,unspecific_ML615J-28
Moraxellaceae,unspecific_Moraxellaceae
unspecific_Myxococcales,unspecific_Myxococcales
Nakamurellaceae,unspecific_Nakamurellaceae
unspecific_Natranaerobiales,unspecific_Natranaerobiales
Neisseriaceae,unspecific_Neisseriaceae
Nocardioidaceae,unspecific_Nocardioidaceae
unspecific_Opitutae,unspecific_Opitutae
Oxalobacteraceae,unspecific_Oxalobacteraceae
Pasteurellaceae,unspecific_Pasteurellaceae
Peptococcaceae,unspecific_Peptococcaceae
Peptostreptococcaceae,unspecific_Peptostreptococcaceae
Piscirickettsiaceae,unspecific_Piscirickettsiaceae
Planococcaceae,unspecific_Planococcaceae
Prevotellaceae,unspecific_Prevotellaceae
Propionibacteriaceae,unspecific_Propionibacteriaceae
unspecific_Proteobacteria,unspecific_Proteobacteria
Pseudomonadaceae,unspecific_Pseudomonadaceae
unspecific_Bacteria,unspecific_RF16
Streptococcaceae,unspecific_RF32
Dehalobacteriaceae,unspecific_RF39
Rhizobiaceae,unspecific_Rhizobiaceae
unspecific_Rhizobiales,unspecific_Rhizobiales
Rhodocyclaceae,unspecific_Rhodocyclaceae
Rikenellaceae,unspecific_Rikenellaceae
Lachnospiraceae,unspecific_Ruminococcaceae
S24-7,unspecific_S24-7
unspecific_Bacteria,unspecific_SBla14
unspecific_Bacteria,unspecific_SC-I-84
Dehalobacteriaceae,unspecific_SHA-98
Sinobacteraceae,unspecific_Sinobacteraceae
unspecific_Solibacterales,unspecific_Solibacterales
Sphingomonadaceae,unspecific_Sphingomonadaceae
unspecific_Sphingomonadales,unspecific_Sphingomonadales
unspecific_Spirobacillales,unspecific_Spirobacillales
unspecific_Bacteria,unspecific_ssigne
Streptococcaceae,unspecific_Streptococcaceae
unspecific_Streptophyta,unspecific_Streptophyta
Succinivibrionaceae,unspecific_Succinivibrionaceae
Synergistaceae,unspecific_Synergistaceae
unspecific_Tenericutes,unspecific_Tenericutes
Thermoactinomycetaceae,unspecific_Thermoactinomycetaceae
unspecific_Thermoanaerobacterales,unspecific_Thermoanaerobacterales
unspecific_Saccharibacteria,unspecific_TM7-1
unspecific_Saccharibacteria,unspecific_TM7-3
unspecific_Bacteroidetes,unspecific_VC2_1_Bac22
Veillonellaceae,unspecific_Veillonellaceae
unspecific_Verrucomicrobia,unspecific_Verrucomicrobia
Verrucomicrobiaceae,unspecific_Verrucomicrobiaceae
unspecific_Bacteria,unspecific_WD2101
Xanthomonadaceae,unspecific_Xanthomonadaceae
unspecific_Bacteria,unspecific_YS2
unspecific_ZB2,unspecific_ZB2
Veillonellaceae,vadinHB04
Actinomycetaceae,Varibaculum
Comamonadaceae,Variovorax
Veillonellaceae,Veillonella
Xanthobacteraceae,Xanthobacter
