GID,Site_2,Site_5,Site_11,Site_12,Site_14,Site_23,Site_30,Site_32,Site_34,Site_36,Site_37,Site_41,Site_42,Site_43,Site_44,Site_45,Site_46,Site_47,Site_48,Site_49,Site_50,Site_51,Site_52,Site_53,Site_54,Site_55,Site_56,Site_61,Site_62,Site_63
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.2127,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0271,0.1384,0.0,0.06,0.72,0.0036,0.0,0.0315,0.8928,1.4013,0.2069,0.2482,0.0,0.3653,1.9459,0.0,0.0057,0.1116,0.2312,0.2529
140,0.0,0.0,0.0656,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0544,0.0,0.0,0.0036,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,3.5699,2.3402,0.0049,0.0151,0.0004,0.0,3.3079,0.0,0.1973,0.0002,9.4529,14.1749,0.1633,3.0006,0.1207,0.1073,0.183,1.4847,1.5831,0.3178,12.2192,27.0783,0.0662,12.8266,14.1469,0.8118,0.0286,0.5392,0.4161,0.4187
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0012,0.0,0.0,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0583,0.0,0.0,0.0,0.2177,0.0064,0.0,0.0018,0.4733,0.1113,0.0,0.0,0.0197,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0
146,0.063,6.9256,0.26,0.0,0.4909,0.0,0.1892,0.0,0.1704,0.0,1.3272,0.1895,0.0544,0.0043,0.0,0.1255,0.0517,0.0036,0.0075,0.0,0.069,0.0,0.0,0.014,0.2264,1.7106,0.0,26.8873,2.9126,2.9568
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
