pathway	site_1	site_2	site_3	site_4	site_5	site_6	site_7	site_8	site_9	site_10	site_11	site_12	site_13	site_14	site_15	site_16	site_17	site_18	site_19	site_20	site_21	site_22	site_23	site_24	site_25	site_26	site_27	site_28	site_29	site_30	site_31	site_32	site_33	site_34	site_35	site_36	site_37	site_38	site_39	site_40	site_41	site_42	site_43	site_44	site_45	site_46	site_47	site_48	site_49	site_50	site_51	site_52	site_53	site_54	site_55	site_56	site_57	site_58	site_59	site_60	site_61	site_62	site_63	site_64	site_65	site_66	site_67	site_68	site_69	site_70
CATECHOL-ORTHO-CLEAVAGE-PWY	192288.49529229276	266844.9298518011	295932.98499651544	159895.37629220262	179946.13266059503	174315.57212503583	98364.74088451706	28487.372013651875	162508.45202206465	105066.28895184136	43969.28662654681	51899.8305454596	79707.91170213743	27625.597052523113	48264.082194081486	272491.58702687215	32238.97944991431	178083.7714912222	440230.6814311984	237751.20596355715	25890.97922422258	220538.19844337084	110952.0156132686	39737.66171695354	101486.4076461511	152253.33916818246	566094.6630417659	103955.269599247	102419.6534452341	51269.13169237708	405023.41205102834	390758.2091336543	207545.18673589258	772741.1445356655	42820.259071245295	270487.5376376606	124497.29402197502	137258.98979445832	100432.12858815871	19092.28553748764	187015.25118139162	78654.35631526765	629734.7394092359	43149.826789838335	255191.14291730867	265788.4347318704	25601.366483949063	1176078.974767547	151008.21922661108	715040.1812609702	33612.06047690746	574715.7564339914	18152.106949186367	53757.666046980936	41503.71019506322	93397.25986559325	323111.85244662414	145620.14461717734	106790.62152602171	38989.614814719804	48405.00744204271	90933.32665455055	89846.06935998991	269753.73681637214	99578.12083265159	198232.6389702963	107396.28972386057	202883.49322725486	29963.450479233226	51281.76982591876
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119950.71999999999	0.0	0.0	0.0	0.0	0.0	36.16	0.0	0.0	0.0	12.8	386.24000000000007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	188961.88019751396	16197.405628110468	25046.666567610617	48330.08182280511	25003.76091385535	56771.93157881455	23558.07445027617	39358.848673673434	39442.70614950854	68640.43548876606	66430.47885808407	113673.37290360729	20567.051771998566	57858.64900159771	20245.785118979315	12157.365323734464	218801.38640485294	14540.065232968076	0.0	103067.0322048458	17800.782491738708	12235.205571020193	33213.9519672401	77089.64996582516	75447.3690297055	1427.6562001396899	111.76479784600198	118190.91079694583	64771.210040482576	89894.66259930244	0.0	85102.10675707558	111503.49274534667	0.0	11506.249963228369	92712.57992000775	138015.44406120497	223294.55616228655	29277.97116386382	355491.0945140482	321567.6008653256	186496.63662651883	21235.994891587252	0.0	166.59328461372164	88758.57051905924	38300.23894040494	36069.84110945422	62050.13987507037	0.0	2193.1665564179334	88.44864259562074	0.0	0.0	0.0	42764.429482476095	65336.15314486979	103666.44828129279	109515.71897535925	83130.56268778117	53105.975152537845	494880.3725648033	424457.5238614442	13478.454660265223	206321.35246331454	228832.15346692735	3922.3556717136576	0.0	0.0	41103.36617129859
CHLOROPHYLL-SYN	1852.6016023129355	604.0816100037048	1200.473231522124	652.8989365327593	1479.8345263986398	0.0	993.2958646445076	0.0	4295.816062720213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4557.344216753709	0.0	0.0	518.4822469368868	0.0	0.0	798.0053350434754	47472.27987381968	2087.2180850392433	0.0	87810.26801645632	0.0	0.0	0.0	32553.157396484603	64120.60556917468	0.0	4465.523863493434	56075.49324100794	140169.1206532199	0.0	0.0	0.0	518.7739261892045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.31624456426851	0.0	0.0	0.0	1551.837363591022	0.0	67378.66989906647	66974.61090941304	0.0	36063.35082134341	187846.4829112498	190176.28375311408	0.0	0.0	0.0	26636.705889075776	168.57001043999196	0.0	0.0
COA-PWY	695033.4149046696	740853.5777160412	708899.88	611171.1796659168	581950.9298956114	685175.0	860118.6834435508	714597.1905484482	708712.1701659407	533292.1198199887	645363.0627068239	636817.1090972417	727425.0127253451	565864.113459686	712914.4177426975	827249.6423932657	791797.482878147	736338.02	503589.99999950343	897620.6699999998	587269.9299999999	422077.47065903724	805925.4219714311	893561.63	779302.8595551434	507141.6047424872	714839.7	615256.21	761789.7201872111	470521.27872872463	940054.4999999999	641871.22	760112.38	811283.5788241094	439718.3	742186.2099242103	882596.950453187	697970.8522186656	861029.6117408647	875258.85	914777.92	718793.7060079355	492241.2700000001	847800.0	736225.55	563981.9	821334.738859312	755851.78	797966.6699999999	970743.0	873268.4699999999	721082.8899958396	927087.55	606362.22	612772.65	632691.25	753177.6449492272	712719.8781837741	759877.7596977379	373598.41986048844	693962.95	783317.3758240601	765244.4981737398	861925.0	677977.0009003032	881933.3300000001	125813.43999999999	573116.14	173650.0	188150.0
COBALSYN-PWY	591710.0465543	469816.6525123635	486602.65658866224	288046.86817154783	324533.9898700471	228994.09836678693	302479.5836113885	411423.764375173	566674.3202530743	504077.77178533236	238484.1911622782	265881.76644960634	167967.6625461675	205071.60479695923	352940.6773346721	346710.0361427417	497482.45153547905	314100.6511907333	387790.8994850979	772645.9588598893	449926.1969054838	209598.72887550853	585824.4215981723	325038.62887641357	600716.575522646	396753.720821235	745749.6373053815	389957.5841642918	665399.8304149796	398561.3735311511	280872.0904131023	495246.4602708048	500178.85786687286	780776.9253592369	439847.90678381355	603989.9487186123	459298.79080127866	633706.4665966884	909227.0181731326	885162.6167066176	808888.5361704131	658636.2058462929	522733.8130856072	716155.6275568965	758107.6751817714	318756.51391208736	806393.7651788386	786150.6621074263	530530.4231946745	998011.0945579159	52366.53157510985	291866.5858908371	30813.626728292016	403734.29019688565	507369.61249447736	591490.5309927128	533265.9805592411	456180.25244099816	438535.6396028234	329638.14225540013	398964.36580088193	693473.3288672472	689115.5665716103	296829.88143198605	512209.68461564876	411100.73975725856	118673.66180648208	621295.0334396847	123240.77383853999	146563.49574692902
CODH-PWY	1071.6193499832586	756.9440225579442	1225.1696338278143	373.80816554607344	1002.1352272513267	30459.859154929578	1217.9597294283524	172355.99498677065	1619.5697297722743	0.0	69611.94804757377	128551.00346258974	16646.72927468224	92085.17264885642	25571.072119513807	23751.828755307975	173342.57216119848	2607.24612991933	0.0	1729.605417161164	4524.790695030205	12450.54068282998	93726.93800946772	66927.71250970439	5600.30903090892	1749.0733957384607	0.0	16523.881855033167	93820.46640387306	105815.56707132404	0.0	494.3548486471372	676.1748340143939	0.0	183408.555300298	752.1218231566385	1162.9157874339023	218370.77540739023	47463.643144180365	14123.312414394773	3124.8449650965113	242239.6476407701	15410.914220267872	2983.509513742072	0.0	3963.6555823874032	207050.38965656134	21173.141652414113	160232.25296442688	0.0	0.0	3.9451641647816844	0.0	0.0	0.0	1692.8511674472811	70963.48816249362	2344.673224690479	3493.490625487711	223884.39750486275	821.7716957508413	7832.112453046122	6914.310570735036	36610.110628763476	120404.39043806157	150791.47976444056	0.0	0.0	13181.572769953053	31209.761388286337
COLANSYN-PWY	652622.5058175428	691477.2712974891	655173.5375419334	466408.41856422764	548372.4845871018	509510.42734154256	584668.3433146593	420072.7306916316	567203.960423826	44205.25855080684	393356.65381393116	350723.8816241875	486680.2964699091	242469.81188100373	287526.41442751704	651838.8910890713	181110.7689226858	589714.0002526204	257.3788517183062	754591.1486357325	544279.72405022	511107.40075680177	376971.1551290485	536414.0144666978	569980.0928634123	157776.37179190572	1013578.9491616269	463546.24636758154	357030.8098897179	414576.1891657085	148589.69066771658	791723.4305652296	565398.2862316386	179861.72115247202	255226.08076940893	844780.7049893045	517637.4802393365	598669.6413741533	914226.6740801978	65245.837485933684	871383.824316201	649471.1380857781	754555.6917213411	872750.5738541838	713517.9691824092	463416.0238106979	804653.0003965048	757855.8861669023	526606.8242229839	1618.0471167009412	161558.48307961997	841675.7157343106	75883.59478204043	325065.93631498184	349729.6937190235	454230.79021772055	613132.9999852002	552617.9717885781	570262.9238660578	180150.1559698437	285819.05565167463	543147.6283018189	483999.40113846306	151347.25458581396	428221.40346997586	264452.4010114009	140751.11205220877	564859.5828702454	88538.21656482335	121497.34647354303
COMPLETE-ARO-PWY	813342.1014074706	861532.0793875922	821295.5578541029	687634.8298845593	660600.5765772838	776726.303185891	970202.8127994139	750058.8979360259	809937.1813431274	600380.2117064869	696504.1358700756	725738.267401425	662475.6318910718	595919.5331329041	749418.0245244552	837446.4467526847	770340.2243687755	881311.0991452076	626240.1146169258	1038896.6974768623	605071.8595567197	552285.9079103305	841146.9620854934	715418.122915369	892618.6287085278	625206.5337962045	937596.2662085856	729781.5094753675	843007.6895155568	574889.6805604408	870634.9726474198	776869.0487562042	913668.9631982652	939168.0646706367	520640.90641752427	831032.2377740153	1007084.9164361565	875080.5769330299	1101811.4008055863	1002622.9849869199	1109951.7567887574	909763.6046873378	656291.2758638888	977274.4483407502	887530.0036510517	666540.5322854829	1063345.9240047666	969371.4921765786	917160.5344972339	1035611.1961459385	889447.5976981337	912546.8657827554	935658.0594744983	694165.033994406	698794.8553906014	730113.9284683536	838573.2602013124	823466.3846077282	869869.9016481349	445568.1325662025	795319.4324691771	941819.3159471431	901961.78518036	827344.1787629513	739890.8089297756	567758.3199764657	170546.83809031107	680495.5355907112	191716.9829871215	176373.46362703873
DAPLYSINESYN-PWY	771884.1456791968	842953.4115704377	820393.1225707588	662396.4708023516	649541.6196211063	473603.2339315869	645597.7955843846	593181.6078599996	785717.7370616851	579581.2089343049	677410.6377028613	509889.2072717851	545210.4469865074	559583.6716752336	724803.6595336803	743626.8182057446	629773.7810288093	851983.9344308622	577189.076673321	950015.696782196	626788.8020898285	502368.3977893961	651333.6946626292	741626.4574661566	817351.7533355011	510654.7276781934	937169.6005222637	675058.2770962925	644561.8107949097	520510.83395898715	1085942.210154266	776110.6547161841	729370.8909410042	923011.8198636235	444553.67065535125	735517.7798472854	634019.5635214408	789664.5039165468	1020028.4726081103	944431.9659573918	964568.87233477	810280.0078160986	621964.8443516134	913808.3396920302	866377.4895193995	618511.5532563372	965758.9412944232	929839.115900587	907771.6216515126	1053784.127872631	974752.9565794301	990985.4112418353	982507.3746497438	666221.9506078798	666466.6091388746	695446.5526351988	791922.6709569334	773781.1882888874	811545.0150011808	332463.7287910213	757950.9666637257	723992.0861305451	681206.8504126049	929646.399637526	653191.9840937731	605857.3869169775	155314.98831242215	671941.0237122014	169822.34214941887	191860.96244943675
