pathway	site_1	site_2	site_3	site_4	site_5	site_6	site_7	site_8	site_9	site_10	site_11	site_12	site_13	site_14	site_15	site_16	site_17	site_18	site_19	site_20	site_21	site_22	site_23	site_24	site_25	site_26	site_27	site_28	site_29	site_30	site_31	site_32	site_33	site_34	site_35	site_36	site_37	site_38	site_39	site_40	site_41	site_42	site_43	site_44	site_45	site_46	site_47	site_48	site_49	site_50	site_51	site_52	site_53	site_54	site_55	site_56	site_57	site_58	site_59	site_60	site_61	site_62	site_63	site_64	site_65	site_66	site_67	site_68	site_69	site_70
ASPASN-PWY	452520.08289737965	560154.1923678037	507284.78595909436	345601.22932403133	389625.01765956497	117234.42042407651	270181.3818499976	448683.2135372182	308201.63259894674	109240.2311831572	554848.3209574753	361572.19623753696	231654.6042069865	373576.813516717	374546.61269588117	207415.90055537055	592120.8478180005	297608.71556573414	129.98183330664577	415254.5959323769	125384.66802785298	455698.7856207393	348372.7429103199	578363.8061862842	361401.4433713502	177956.84400253955	959473.2319271605	272943.81922510715	644545.1905950749	392206.4535888238	181952.91104424928	539499.0021757417	374974.9160856927	179386.0654972209	167755.70784270455	626519.0780790704	393365.4660387784	583856.4543093602	159188.0520398592	973383.2391525422	392763.2082742928	420240.3496007915	589523.2831092346	227719.74923878664	372550.3981555944	391345.37631227967	168890.67881479772	580494.3262570893	372311.11585508176	647.7451715085577	109978.76278128228	240368.84093344444	56820.85405583977	386126.38878075965	347528.06009649445	262086.93456520766	422508.55141074845	261183.5325483478	276852.99290613993	321124.6920164017	152562.11353485915	866713.3514603553	752821.5681394904	333651.57349381584	641948.2433910001	776453.2692097847	143929.02317271268	292547.6486955289	49761.362766395214	146783.5867324051
AST-PWY	66600.50174771948	56185.20304129115	42169.69585104188	23273.18768245215	36127.794284236246	0.0	40550.38265601847	0.0	43328.54239273273	0.0	38886.62259372677	79411.39316834875	52302.28050025436	19961.274718387012	78358.45873088359	74953.6292540782	33702.60929891381	187478.19247829463	5.8248841132294595	1438.7491547575717	2922.35150714126	560330.1281937712	52027.00197546319	4953.069326351039	172717.6316376416	32.4962679499047	413755.5548765731	35217.28134084549	15108.807570644507	12149.641577658393	0.0	3145.1271208849844	6449.11849159337	0.0	15957.036055960652	6464.706430620542	3963.393234409732	62019.160081964365	51979.53072951328	86674.23447624997	894.6077980232309	12502.130371650157	662593.7753130258	24300.749579619645	681484.9590998478	853.8496763238718	8964.305659897223	218918.30866735175	0.0	0.0	0.0	245947.52859310774	0.0	0.0	349.87784440942704	301943.2409086747	26546.62335561734	32844.61026810343	34259.25840080056	6271.505933620661	19967.054200893424	57899.22112278467	65219.44884057962	31666.666666666668	10228.27474129462	16888.88888888889	154880.27558094263	615464.5253867545	0.0	10118.635329137494
BIOTIN-BIOSYNTHESIS-PWY	821087.9314714521	580837.3005207423	527214.7663236867	391643.2911992797	423402.0875355997	428371.86241670855	419493.8909905817	455239.39050346625	535121.5739243521	227706.3056646151	232346.89022417594	332459.2063000428	316621.690704912	103963.94641244493	214136.37372159312	356963.40640767576	135869.2139651694	726243.3166618533	452728.52049921174	675973.5173740243	520756.83962226193	763758.4715907162	184876.42998208725	191310.09158494737	639871.8929826791	350936.8821473332	1041056.4989387527	581213.2944642805	367067.771559586	731951.0794294104	973923.9481348156	237380.97407777663	411819.21615092806	402059.84375643	294534.0482162615	415003.3387167149	292988.35626107315	703620.0524608678	1079764.7231885453	185051.00974207002	892088.3803300417	622776.0608428579	1187820.8981499071	1024653.976965414	1018634.1865807653	579745.7859713202	765797.782226061	1151245.7042486137	533091.3138342084	738.5439486494241	63360.33378865197	558247.258435595	42016.81359801704	1241415.4283836978	1198857.4556526127	637144.2842778385	479278.38711045193	788227.216401446	827860.5008462919	189192.49896700867	467442.6836530801	757811.7310277229	690876.2614289265	291059.43885840836	696316.5747197664	349284.33359933336	244660.79285789974	772318.5364245736	138639.99577173823	226786.63855761796
BRANCHED-CHAIN-AA-SYN-PWY	1061935.3199378387	1265666.7412745103	1126487.696599171	882364.0595782046	906834.296170022	1005992.1728998022	1387435.85322918	1027053.55223536	1257813.337193148	933453.5461485286	871037.5622693178	542181.8650438867	989725.9394998756	644571.5511548636	707141.0011558866	1235981.2018066316	623337.2787278242	1112644.9327795566	677237.5412550028	1269518.0778041468	735701.4027318283	976874.3500575282	653498.0367437097	933426.5399591323	966351.5990032392	840346.0623629548	1713667.538189591	891643.7575153934	914397.0909121521	880448.8424982044	1357943.5496507112	1134367.2786225737	1190808.8618349251	1124032.211178756	683066.860317371	1297170.423992147	1259229.8408286301	1029202.9576533216	1180037.217938876	1064166.7249568151	1254180.2279080532	995679.6417073502	1407460.034493413	1220423.5157049983	1496943.2655956796	1002954.6098498988	1066169.790347691	1364295.5520304758	1275853.3130750183	1275249.915701962	993287.2163594597	864387.8368334023	1327474.6658575807	1530319.0109080712	1633263.3551825732	971363.9488282781	1150181.3768972773	1127467.6821695676	1118811.4868669596	453537.05052583857	979246.2695594584	1194864.084988826	1066676.0851641165	1128979.3291748425	900681.7481976754	718926.4310564235	296732.08874589595	1129214.790632795	256182.24489528456	282494.53235205833
CALVIN-PWY	870812.7837527589	933935.533047088	838207.1172611077	674977.0284561381	678752.7511667955	752648.6405658299	981040.8861877085	744608.1828748377	840399.7291576734	595833.6263636705	719458.5099597712	844044.5903557162	818372.1787271539	494889.95645667345	513843.6074694896	896754.369634561	574143.7553360502	931745.3443610384	504312.9466575027	984310.6452806103	634841.7300120417	729841.663306135	539353.7302190504	960712.2831781727	759153.285942891	697398.0488223768	1294980.011333873	706818.5341618409	891420.0312357042	868570.0293046653	966928.9185804642	831541.347062669	905897.2468545521	852766.3740033876	477481.26758841844	946542.1363912623	917662.5244142432	1200084.6413198386	1271505.0500446202	1004610.8651327497	1094389.9459169176	1135626.2143371848	1109257.0150622234	1024770.2284441105	857205.7372892005	781149.6597361434	1283428.2471319672	1100517.9584231877	1021449.0233427159	1044729.6245235937	364212.38920355606	539434.5213849663	245183.37027398832	1070375.2401712933	1091436.89756755	651240.2180718886	924785.513192115	847746.9609786633	867766.4542316198	443261.8577645811	765222.6994142612	996037.2989016144	892805.9232558784	631719.363500024	952752.535092578	1001438.1462176255	232111.69035418777	811723.0350264924	202078.33405509783	281884.4227358117
CATECHOL-ORTHO-CLEAVAGE-PWY	230400.94661246258	319587.13572617417	328456.10730159795	175638.84476337585	207398.8261367862	174315.57212503583	125271.07914934786	28487.372013651875	189737.8943864682	105066.28895184136	62415.95687764518	90035.21583672332	93635.25311554817	37468.849136159246	85442.47689215551	281140.92645763134	45869.88751853638	302660.054926006	440227.4399351466	238191.55154915605	32318.631274271163	574028.2287591582	127312.00963413845	50404.54503726308	253038.0122011298	159523.4317293709	1062774.3631028295	217789.69838329486	123650.58993834975	56553.829476556006	423680.1693632195	410204.4005808668	221496.68431921166	770433.4332466697	45857.17138931176	275721.4662246121	126501.81390374177	175268.37092793974	131001.1355694162	35454.41587729246	180925.03042323227	83908.47834357311	1040423.9669947625	50730.03875968992	371056.5569214342	266804.70389695285	28660.17186404558	1271146.114182582	151008.21922661108	715063.2805956256	38243.31693006431	350921.0334875544	20435.541243078907	53774.177777979334	41633.86844764554	109088.86207348361	333803.7610204706	247753.9348538192	195870.38547901434	42122.500346643	352250.6930641599	152008.11237712685	153428.97574884037	292710.58759074105	102359.5511013948	204570.75512164988	184167.66481695964	352793.94005290035	27628.721541155868	53377.037037037044
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95960.576	0.0	0.0	0.0	0.0	0.0	28.927999999999997	0.0	0.0	0.0	10.24	308.992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	193000.86149166193	17426.876583053105	25654.175144397293	53380.7549547546	26695.640003976332	57068.575968559104	24939.912054326225	39514.09792593479	40061.73373520167	68663.4056536213	67568.61520214267	124754.42398672842	21361.56495316982	62664.51947406856	23166.74828420359	12539.626355318627	222900.48158942425	14616.175073349566	0.0	103933.33180656958	18411.36966761711	12804.122664542927	37864.089358302255	79938.26686361291	80516.03147757957	1426.1211203724697	111.80091821359342	123080.77914763616	75398.6099758282	97951.44157838836	0.0	116684.81400126407	158178.4205148447	0.0	12728.703950168061	456124.0977620523	175992.35056550035	265771.55784214265	29925.25448403068	1160.4422825928486	321572.21599205735	190558.32429416355	21316.329473123355	0.0	187.91904246909354	88624.64170592026	42180.16811943509	36115.01675511892	65064.457537413546	0.0	2231.0689187335365	88.67815994472912	0.0	0.0	0.0	63499.91533512181	71585.61787750483	105014.79937744507	113588.5148547301	85272.04344201217	55217.107220012505	502902.0611949131	435147.5730541782	13503.850535908019	235699.44313264024	231445.8695140529	4930.663180175588	0.0	0.0	42208.570308857874
CHLOROPHYLL-SYN	2098.6209489152156	644.3653180644252	1247.905265976585	734.3187045953715	1658.3478834232312	0.0	1133.5002589908054	0.0	4678.0502614579445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5087.376449534639	0.0	0.0	521.2581067327158	0.0	0.0	857.9478919573318	26698.72181893784	2016.6991737357937	0.0	51898.066244886395	0.0	0.0	0.0	32352.087300625186	62846.73516048245	0.0	4462.0388483314855	55471.75101175979	117709.59195125356	0.0	0.0	0.0	520.1105204028142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.036391113742205	0.0	0.0	0.0	1551.7430174612784	0.0	42080.1081929096	59639.00233432417	0.0	21201.876679588273	73313.04408160146	60794.85174006873	0.0	0.0	0.0	27704.269526701497	168.5738158831418	0.0	0.0
COA-PWY	731989.8350010589	791125.1378611652	709513.45	619773.1896705535	597173.5398982724	674135.0	880626.8834797958	722554.6586400329	728063.6786014241	533292.1198199887	696199.2502409348	685113.0804468126	727133.3754783074	580366.2466665074	585944.0105529244	829730.069757963	627723.7536477431	829077.99	503595.49499994604	906096.0	585393.3300000001	714601.975984388	559794.1866115857	792791.95	665930.4994794107	582201.5734596323	955818.4000000001	603745.0	750871.0550887285	687947.3510301365	940054.4999999999	633889.87	736729.5599999999	814033.6342976475	421354.75000000006	728292.9899227646	768026.8990292425	741670.5225168257	897230.8959205039	890724.6000000001	929269.7	736438.6911910081	930125.5	943450.0	842740.73	703240.05	845361.6627010785	902847.4	862000.0000000001	970728.33	877248.7000000001	539160.5599944359	927087.55	975961.5499999999	990551.6499999999	636646.12	772448.9374154836	751045.4992968357	777109.0697044402	374744.84837620414	693937.3999999999	751173.1311542977	677978.2076459236	883300.0	775179.5948413853	895800.0	217045.44	729694.89	173650.0	242200.0
COBALSYN-PWY	620657.2968037733	470628.2542764498	423829.82318255695	278586.06208686344	315055.98286108347	477160.7997111955	313614.5390620229	489747.1832659853	578672.9448554303	499492.86526322836	307459.88648422156	315479.4593237766	183826.0247426562	224989.82531893282	237344.56376617882	366364.6735408442	338570.1749819145	403685.72219363914	387798.6003017759	781926.2574550789	453336.5335772014	613274.0989226452	342529.00058722176	229283.9060117697	534516.043024484	482311.25746945455	975061.6546647991	452553.80861259863	681980.0322844926	624429.7400690748	292799.91659378476	428517.0074189462	441033.87054279464	782332.6882350966	422832.3539852545	574856.1973836642	333630.5880277855	678646.478951134	944628.4978718793	897906.8508833533	826107.1340023001	678313.0608292168	954500.3447291348	813827.8418108951	848943.951607281	461316.2832064738	829877.2686809627	929660.3115585342	594750.1116241763	997855.5647633369	40604.867404709934	163415.78627475933	19689.030495958395	808171.8983667423	926784.193552504	608137.9379002398	542933.4480646369	553318.1804830381	493910.8089119427	332223.38410956814	480374.8586802811	676509.3330912576	611324.1074283471	320540.87081827107	611387.8121750436	425369.2162630324	207406.06595106248	669625.6332855453	149642.92682926828	202260.2215838446
CODH-PWY	3935.013110740466	1664.5446545926973	9405.840033761364	1858.6212406502157	3099.8990707474604	368422.5895134392	3996.531158804648	283620.13221683557	7469.631555088893	0.0	78685.41702657042	365773.5527659768	30617.06304166297	98357.49451791371	92001.93013626325	28686.922650846915	195201.6714480604	9055.921048747809	0.0	1729.8072605677598	5703.154590167119	20126.663361342115	234931.61445971762	107796.38693339603	78790.44121258867	1751.3369120447733	0.0	26436.34407190927	111191.04302496261	129016.68154068603	0.0	35334.49324959983	64421.2518782377	0.0	276356.90776628867	287073.42171507195	81037.74375904712	217137.91937185283	50027.50956673904	14123.50678770104	3125.187007264127	250329.18656356528	16444.881840693	3014.1560798548094	0.0	3968.018921274567	226699.03092904817	21198.72543671991	166333.33333333334	0.0	0.0	18.822767673200307	0.0	0.0	0.0	4003.1701202550385	79332.99214848303	14805.17206827604	18710.20742606461	229927.07156219048	7640.543941126598	31275.419843887823	45996.4967870707	36610.110628763476	174766.19557004384	150791.47976444056	194.4344843774451	0.0	63585.80974842766	33237.635705669476
COLANSYN-PWY	670395.3082134096	727406.5348790043	648941.4845922478	466370.5212616163	543745.329849103	529459.3752798816	588733.3800904189	486632.66216028866	579186.3704397231	63518.525391192394	416848.5050796735	469988.1789670282	476304.8685647819	250361.59097061088	313719.076322078	638727.1811449016	185323.33455758903	680744.1779499231	326.4550684336567	764050.9606177931	538373.4448168081	670675.8140411752	360754.1125586532	450392.7173198155	576747.5011897932	491106.92539851606	1263610.2229060482	481267.7702357179	381820.4942163335	672169.5492700362	205506.05405445548	785833.2667242616	577960.3208104576	239991.6394297421	238909.41567235146	881904.5004152834	517981.4404731009	628941.4432068743	938432.6134880944	136029.13527060286	882152.8283141567	672776.7431532379	1045939.7952280125	953141.0304648003	795595.6229542969	629762.8752056045	836122.6676062295	863288.1271250526	606833.1330021245	1508.303138662789	130212.74890339196	313395.04427974555	44246.75937380026	663417.1633583247	569246.7384276664	462930.92221728823	632164.450211561	535156.0163501287	516505.94479291217	197462.6083724038	517867.6186968809	546203.3804715005	477954.29082394904	201630.67639811168	598526.4256215355	277737.5089288604	204680.6411547568	626063.7347330867	118461.8798735473	198762.11056887684
COMPLETE-ARO-PWY	870115.5599828414	921492.755190787	827939.060168736	700458.8764614023	685593.2442748206	784195.4430412853	1002091.680584329	763926.4077307933	837558.7010480011	600284.8176093192	766646.2031050279	595440.474442163	673904.4190777334	617207.7416265332	647984.4440867202	848905.2930367386	639791.9650186922	1015343.9490485392	626245.8177558967	1048918.5185104865	642950.1863033675	924472.2884292022	552332.9743017107	778777.9003172017	805169.987972438	675584.936446779	1234402.2408131035	713577.6994000567	834234.5358560502	810679.3795755417	870634.9726474198	770841.046813939	873098.6734454813	944973.1424109456	489510.164617929	829587.2193855691	898312.9430348258	931776.5532540882	1147743.5504380406	1024629.4376863143	1125845.4052968647	925601.3016778716	1212397.1292171394	1089670.1481915913	1025692.2426020737	827159.2457665649	1090932.8476427726	1155555.7440966133	994462.3158467686	1035565.7411224749	893989.284373939	652271.668590541	934794.6679443234	1118623.1728359882	1131439.469079735	737155.6923029511	860029.4348877961	865274.8639830207	886155.3882620462	443292.05648439436	782250.3594565159	924806.1703251151	830896.0354914072	934023.5095248688	851707.6296525111	888249.6840330743	286811.5574926282	930709.4119762144	196959.28163274913	271172.5146860857
